model,accuracy,precision,recall,f1_score,type
Logistic Regression + SMOTE,0.856873178549227,0.9789212647241166,0.8070906059107934,0.8847400957131178,Supervised
Random Forest + SMOTE,0.8995215038125709,0.9900848902978387,0.8609949640106921,0.921038714246018,Supervised
Isolation Forest,0.6490381599283681,0.8077672590967659,0.6356155889426098,0.7114251950780313,Unsupervised
One-Class SVM,0.658670818576374,0.8181730666381432,0.6409448554981104,0.7187956641654646,Unsupervised
