model,accuracy,precision,recall,f1_score
Logistic Regression + SMOTE,0.856873178549227,0.9789212647241166,0.8070906059107934,0.8847400957131178
Random Forest + SMOTE,0.8995215038125709,0.9900848902978387,0.8609949640106921,0.9210387142460179
