model,accuracy,precision,recall,f1_score
Isolation Forest,0.6490381599283681,0.8077672590967659,0.6356155889426098,0.7114251950780313
One-Class SVM,0.658670818576374,0.8181730666381432,0.6409448554981104,0.7187956641654646
